entity_id,course_code
3,jbpmpd
4,mobdevdm
6,rdataana
8,existdb
9,existdbint
240,javafun
241,excelvbai
242,mysqladm
243,sqlfun
244,strapra
245,jmeterfun
246,drpal8views
247,phpdev
248,drupal7dev
249,umlad
251,ccsint
252,svnusr
253,drupalsn
254,phpopt
256,sqlmysqladv
257,jmeteradv
258,jmeterwebapp
259,drupal8dev
261,designpat
262,wssoapwsdl
263,soaarchmgr
264,bpmana
265,ocup-2-f100
266,uml2itmprep
267,uml2advprep
268,excelafd
269,excelstatsda
270,stockexin
271,html
272,soabusi
273,brmsdrools
274,soad
275,subvadmin
277,bpaumlbpmn
278,agilescrum
279,jsajax
280,soa2eda
281,soabpmn
282,oceb2f100
283,apacheadmin
284,pythonprog
285,drupal8admin
286,drupal8webapp
287,kshprog
288,mrkfct
289,ecomdrupal
291,perl
292,drupal7themes
293,gimpfun
294,gimpintro
295,javaeejboss
296,javaph
297,297
300,ubtdt
301,ubtsvr
302,javaperf
303,jquery
304,drupal8themes
306,adintro
308,apachetomcat
309,stats1
310,stats2
311,lpic1-101
312,lpic2-201
313,313
314,forexcurmkt
315,babokiiba
316,busiana
317,sixsigmayb
318,mtstatda
320,320
321,struts2
322,as3
323,lpic1-102
324,lpic2-202
325,scrummanexec
326,scrumpdtown
327,manbppm
328,posh
331,lms
332,drupalseo
333,appxmlxsdxsl
334,bpelsvc
335,oceb2b200
336,ocebb300
337,bplanbmm
338,b2bbrandman
339,drupal7adm1
340,advsqlpt
341,oceb2t200
342,oceb2t300
344,aiint
345,gitusers
346,mercusr
349,mwadm
350,sqlsqlsvr
351,sqlmsa
352,wikiedit
353,soamlad
354,354
355,pcvs2012
356,pamvc5
357,psl5
358,pwpf45
359,dpcs
360,gitvicsubv
361,rmddvcs
362,statsman
363,oplsqlfun
364,osqlfun
365,ulshscr
366,webappd7
367,androidtest
368,androidfun
369,androidwidget
370,androidhybapp
371,javafunandroid
372,androidprog
373,373
374,oracleperftun
375,geneticsint
376,statsres
377,TesAutSel
378,378
380,rintro
381,debianadmin
382,netmrk
383,bpmn2ba
384,pgmt
385,pricestrat
386,pginttrade
387,iosprog
388,ocsmpprep
389,agilesofttest
390,ocres200
391,ocres300
392,drugdsg
393,mdlbiostruct
394,progbio
395,sccomm
396,bioinfbas
397,umlitba
398,mariadbadmin
400,androidct
401,cloudcomp
403,sixsigmagb
404,linuxsysadmin1
405,mongodbadmin
406,mongodbdev
407,xquery
409,sixsigmabb
410,subvadv
411,411
412,jcapsdae
413,jcapsdaadv
414,jcapsdaexp
415,pgsqladm
416,416
417,html5intro
418,dddintro
419,jbpmdev
420,naf
421,jqueryadv
423,423
426,uwcf
428,eaint
429,gfsjeeint
430,mql4prog
431,smtwebint
432,fumlintro
433,updmint
434,modafint
435,dodafint
436,flex4lcds3
437,asp4
439,luacomp
441,advnet2dev
442,corenet2dev
447,wfcsn
448,448
449,449
450,pmsacs
451,451
452,452
453,453
457,cissprev
460,transsqlbas
463,transsqladv
466,466
471,471
476,476
491,amlctf
492,mancomprisk
493,compmlro
494,corpgov
495,pdifinc
497,coach
502,commtm
503,commtm2
504,vsvb
506,handcc
507,hip
508,mantdev
509,pplteamman
510,pemm
511,selntro
529,bprca
530,badsp
531,presconf
532,traintrainer
534,changeman
535,rcbd
536,stratman
537,yourbb
538,credapp
539,crmcl
547,ptloadrunner
551,perftune
552,lendapp
554,ploneint
556,o11gadm
563,androiddev
564,564
567,iis7aspadm
584,tgapai
598,ksuswsf
606,jwebappjsp
637,drupalviews
667,msdxml
685,685
706,reqman
716,scrumstep
726,junit
733,bldrools
741,inkscape
743,agilescrum
750,agilescrum
751,agilescrum
752,drupal7adm1
753,excelstatsda
754,bpaumlbpmn
755,selntro
756,jmeterfun
757,umlitba
758,jmeteradv
759,gitusers
763,agilescrum
765,765
766,agilescrum
767,agilescrum
768,agilescrum
770,agilescrum
771,agilescrum
772,agilescrum
773,agilescrum
774,agilescrum
776,agilescrum
779,779
782,782
784,784
808,808
809,809
810,810
811,811
812,812
813,813
814,814
815,bpaumlbpmn
816,bpaumlbpmn
818,jmeterfun
819,wssoapwsdl
820,820
821,aspnetmvc45
822,822
823,svnusr
824,sqlfun
838,838
840,webappd7
841,webappd7
842,excelstatsda
843,apachetomcat
844,apachetomcat
845,sqlfun
846,bldrools
847,agilescrum
848,webappd7
849,agilescrum
850,agilescrum
851,rmddvcs
852,gitusers
853,mrkfct
854,xcelsius
855,855
856,agilescrum
861,scrumtrintro
862,862
863,scrumbelbintr
864,scrumtestspe
1123,gitcomp
