,cate,course_code,entity_di,title
0,"[u'jBPM', u'BPMN', u'BPMS']",jbpmpd,3,jBPM for Process Designers
1,"[u'Android', u'Mobile Programming', u'iOS', u'Cross Platform Development', u'Mobile Development']",mobdevdm,4,Mobile Development - An Overview for Decision Makers
2,"[u'Statistics', u'R']",rdataana,6,R for Data Analysis and Research 
3,"[u'XQuery', u'eXist-db']",existdb,8,eXist-db Development and Performance
4,"[u'XQuery', u'eXist-db']",existdbint,9,eXist-db Introduction
5,[u'Java'],javafun,240,Java Fundamentals
6,"[u'VBA', u'Excel VBA', u'Excel']",excelvbai,241,Excel VBA Introduction
7,[u'MySQL'],mysqladm,242,MySQL Database Administration
8,"[u'SQL', u'Oracle', u'MySQL']",sqlfun,243,SQL Fundamentals
9,"[u'Strategic Management', u'Strategic Planning']",strapra,244,Strategic Planning in Practice
10,"[u'Test Automation', u'Automation Testing', u'JMeter']",jmeterfun,245,JMeter Fundamentals
11,[u'Drupal'],drpal8views,246,Drupal 8 Views Module
12,[u'PHP'],phpdev,247,Developing Websites with PHP
13,[u'Drupal'],drupal7dev,248,Drupal 7 for Developers
14,"[u'MBSE', u'Software Design', u'UML', u'Business Analysis']",umlad,249,UML Analysis and Design
15,[u'CSS'],ccsint,251,Introduction to CSS
16,"[u'SVN', u'Subversion']",svnusr,252,Subversion for Users
17,[u'Drupal'],drupalsn,253,Building Social Networking Application in Drupal
18,"[u'Performance', u'PHP']",phpopt,254,PHP Web Sites Optimization
19,"[u'SQL', u'MySQL']",sqlmysqladv,256,SQL Advanced in MySQL
20,[u'JMeter'],jmeteradv,257,JMeter Advanced
21,"[u'Test Automation', u'Automation Testing', u'JMeter']",jmeterwebapp,258,Web Application Performance Testing with JMeter
22,[u'Drupal'],drupal8dev,259,Drupal 8 for Developers
23,"[u'Design Patterns', u'Software Design', u'UML', u'Business Analysis']",designpat,261,Design Patterns
24,[u'Web Services'],wssoapwsdl,262,WebServices with SOAP and WSDL Basics
25,"[u'SOA', u'Technologies Overview']",soaarchmgr,263,SOA for Architects and Managers Overview
26,"[u'BPM', u'BPMS', u'Technologies Overview']",bpmana,264,BPM for Managers and Analysts Overview
27,"[u'OCRES', u'OCSMP', u'OCUP', u'OMG', u'Software Design', u'UML']",ocup-2-f100,265,OCUP2 UML 2.5 Certification - Foundation Exam Preparation
28,"[u'OCUP', u'OMG', u'Software Design', u'UML']",uml2itmprep,266,OCUP2 UML 2.5 Certification - Intermediate Exam Preparation
29,"[u'OCUP', u'Software Design', u'UML']",uml2advprep,267,UML 2.0 Certification - Advanced Exam Preparation
30,"[u'Statistics', u'Excel']",excelafd,268,Analysing Financial Data in Excel
31,"[u'Statistics', u'Excel']",excelstatsda,269,Excel For Statistical Data Analysis
32,"[u'Investment', u'Financial Markets']",stockexin,270,Stock Exchange and Investment
33,[u'HTML'],html,271,HTML
34,[u'SOA'],soabusi,272,SOA: the Business View
35,"[u'Jboss Rules', u'Business Rules', u'JBoss', u'Drools', u'Technologies Overview']",brmsdrools,273,Business Rule Management (BRMS) with Drools
36,[u'SOA'],soad,274,Service Oriented Analysis and Design
37,"[u'SVN', u'Subversion']",subvadmin,275,Subversion for Administrators
38,"[u'BPM', u'BPMN', u'BPMS', u'Business Analysis', u'MBSE', u'Technologies Overview', u'UML']",bpaumlbpmn,277,Business Process Analysis with UML and BPMN
39,"[u'Scrum', u'Agile', u'Technologies Overview', u'Project Management']",agilescrum,278,Agile Project Management with Scrum
40,"[u'JavaScript', u'Ajax']",jsajax,279,Javascript And Ajax
41,"[u'SOA', u'EDA']",soa2eda,280,SOA 2.0 and EDA
42,"[u'SOA', u'BPMN']",soabpmn,281,Enabling SOA with BPM and BPMN
43,"[u'BPMN', u'BPM', u'OMG', u'OCEB']",oceb2f100,282,OCEB2 OMG Certified Expert in BPM - Fundamental Exam Preparation
44,"[u'Apache', u'Web Server']",apacheadmin,283,Apache Web Server Administration
45,[u'Python'],pythonprog,284,Python Programming
46,[u'Drupal'],drupal8admin,285,Administering a Drupal 8 Website
47,[u'Drupal'],drupal8webapp,286,"Building Web Applications with Drupal 8, Views, Fields and Panels"
48,[u'Linux'],kshprog,287,Korn Shell Programming
49,"[u'Statistics', u'Strategic Management', u'Forex', u'Forecasting', u'R']",mrkfct,288,Market Forecasting
50,[u'Drupal'],ecomdrupal,289,Building E-commerce Applications with Ubercart in Drupal
51,"[u'Perl', u'Programming']",perl,291,Perl Programming
52,[u'Drupal'],drupal7themes,292,Drupal 7 Themes
53,[u'Gimp'],gimpfun,293,Gimp Fundamentals
