,cate,course_code,entity_id,title
0,[u'GIT'],gitusers,345,Git for Users
1,[u'Oracle'],453,453,Oracle: (1ZO-147) Program with PLSQL
2,"[u'CSS', u'Web Development', u'Computer Graphics']",css3int,3465,Introduction to CSS3
3,"[u'Linux', u'Ubuntu']",ubtdt,300,Ubuntu Desktop
4,[u'Android'],androidtest,367,Android Applications Testing
5,[u'Blockchain'],blockchain,153393,Blockchain - Theory and Practice
6,[u'Soft Skills'],timeds,191125,Time Management
7,"[u'BPM', u'BPMN', u'OCEB']",oceb2f100-1,114882,OCEB2 OMG Certified Expert in BPM - Fundamental Exam Preparation (5 days)
8,[],oracleebsfundamentals,207149,Oracle E-Business Suite Fundamentals
9,[u'Finance'],cbpst,23716,"Corporate Banking:  Products, Strategies and Trends"
10,"[u'TestNG', u'Test Automation', u'Automation Testing']",testng,141125,Testing with TestNG
11,"[u'C#', u'C Language', u'Microsoft .NET', u'C-sharp', u'Cross Platform Development', u'Visual Studio', u'Developer']",advancedcsharp,200408,Advanced Programming in C#
12,"[u'Test Automation', u'Automation Testing', u'JMeter']",jmeterfun,245,JMeter Fundamentals
13,"[u'Neural Networks', u'Business Rules', u'Machine Learning', u'Artificial Intelligence']",aiauto,153856,Artificial Intelligence in Automotive
14,"[u'digital marketing', u'Social Media']",digimarketing,205385,Digital Marketing
15,[u'Management'],comawa,2943,Commercial Awareness
16,"[u'HTML', u'Drupal']",drupalseo,332,Drupal SEO
17,[],mcsawin8,113899,4.- MEJORA TUS HABILIDADES PARA MCSA WINDOWS 8
18,"[u'Business', u'Hadoop', u'Big Data', u'Business Analysis']",hadoopba,113243,Hadoop for Business Analysts
19,"[u'Performance', u'Java']",javaperf,302,Java Performance 
20,[],Semwebbe,209141,Bespoke Semantic Web Training Course
21,"[u'JavaScript', u'Microsoft Authorised']",ms-20482,68895,MS-20482 Advanced Windows Store App Development using HTML5 and JavaScript MTA Exam  70-482
22,[u'Test Automation'],TestComplete,209385,TestComplete
23,[u'Node.js'],nodejspm2,116050,Node.js and PM2
24,[u'Assertiveness'],862,862,Building an Effective Team with Belbin Team Roles
25,[u'TensorFlow'],tfir,134789,TensorFlow for Image Recognition
26,[u'MATLAB'],simulinkadv,198633,Simulink® for Automotive System Design Advanced Level
27,[],Chefad,201289,Chef Advanced
28,"[u'Red Hat', u'Debian', u'Cloud Computing', u'Linux', u'Ubuntu']",lcsmcentos,90034,Linux Cluster and Storage Management on CentOS 6 & 7
29,"[u'Web Development', u'PHP', u'Web application framework']",laravel,202128,Laravel: Build rapid and elegant web applications with the Laravel PHP Framework
30,[u'MATLAB'],ecmloct,67597,Evolutionary computation with MATLAB/OCTAVE
31,"[u'Android', u'Mobile Programming', u'iOS', u'Cross Platform Development', u'Mobile Development']",mobdevdm,4,Mobile Development - An Overview for Decision Makers
32,"[u'Software Engineering', u'MBSE', u'SysML', u'UML']",sysengsysmluml2,96724,System Engineering using SysML and UML 2
33,[u'OCRES'],ocres200,390,OMG Certified Real-time and Embedded Specialist (OCRES) - Intermediate Exam Preparation
34,"[u'Functional programming', u'Java', u'Programming']",scalaadvancedfunctional,208841,Scala: Advanced functional programming
35,"[u'SQL Server BI', u'Access', u'Data Mining', u'Data Visualization', u'Excel']",PowerBIPL,199449,Analiza danych z zastosowaniem Power BI
36,"[u'Statistics', u'Six Sigma']",sixsigmagbfast,207649,Six Sigma Green Belt - Fast Track
37,"[u'Brand Management', u'Marketing']",b2bbrandman,338,B2B Brand Management
38,[],MOS112,191921,Advanced C++ Software Design
39,[u'Requirements Engineering'],piwa,8558,Podstawy inżynierii wymagań i analizy
40,[u'Statistics'],stats1,309,Statistics Level 1
41,[u'Parallel Computing'],openmpi,209529,Open MPI: Building distributed memory applications
42,"[u'PowerPoint', u'Microsoft Office', u'Excel']",bexppt,153337,Practical MS Excel and PowerPoint
43,[],siebelscripting,207121,Siebel for Developers: Scripting
44,[u'Secure Code'],cl-osc,155025,The Secure Coding Landscape
45,"[u'Pentaho', u'Data Mining', u'Big Data', u'Data Analysis', u'Business Intelligence']",PentahoDI,209137,Pentaho Data Integration Fundamentals
46,"[u'Java EE', u'Tomcat']",atomjeeadm,2387,Apache Tomcat and Java EE Administration
47,"[u'Data Mining', u'Data Visualization']",datavis1,143833,Data Visualization
48,[u'MATLAB'],simwcs,116058,Simulation of Wireless Communications Systems using MATLAB
49,[u'MATLAB'],ipmat1,145969,Introduction to Image Processing using Matlab
50,[],structuralengineering,208717,Introduction to Structural Engineering
51,[u'Soft Skills'],custds,191117,Excellent Customer Service 
52,[u'Data Mining'],pmml,68680,Predictive Models with PMML
53,"[u'Kubernetes', u'Docker']",dockkuber,206701,Kubernetes - Advanced
54,[u'Ansible'],advans,134929,Advanced Automation with Ansible
