id,lat_lng,latlng,geocode_data,city,country
1542,"{u'lat': 37.3382082, u'lng': -121.8863286}","37.3382082,-121.8863286",,,
1544,"{u'lat': 42.654109, u'lng': -73.7482442}","42.654109,-73.7482442",,,
1546,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
1552,"{u'lat': 11.664325, u'lng': 78.1460142}","11.664325,78.1460142",,,
1553,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
1558,"{u'lat': 39.78172130000001, u'lng': -89.6501481}","39.7817213,-89.6501481",,,
1559,"{u'lat': 40.503491, u'lng': -78.0174141}","40.503491,-78.0174141",,,
1562,"{u'lat': 32.9594891, u'lng': -117.2653146}","32.9594891,-117.2653146",,,
1567,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
1568,"{u'lat': 32.8514845, u'lng': -116.9385756}","32.8514845,-116.9385756",,,
1569,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
1570,"{u'lat': 39.7392358, u'lng': -104.990251}","39.7392358,-104.990251",,,
1575,"{u'lat': 42.7369792, u'lng': -84.48386540000001}","42.7369792,-84.4838654",,,
1582,"{u'lat': 55.755826, u'lng': 37.6172999}","55.755826,37.6172999",,,
1585,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
1592,"{u'lat': 38.9071923, u'lng': -77.0368707}","38.9071923,-77.0368707",,,
1594,"{u'lat': 29.7604267, u'lng': -95.3698028}","29.7604267,-95.3698028",,,
1595,"{u'lat': 38.984652, u'lng': -77.0947092}","38.984652,-77.0947092",,,
1598,"{u'lat': 36.1156071, u'lng': -97.0583681}","36.1156071,-97.0583681",,,
1599,"{u'lat': 40.7556818, u'lng': -73.8830701}","40.7556818,-73.8830701",,,
1613,"{u'lat': 39.9491834, u'lng': -75.1647772}","39.9491834,-75.1647772",,,
1615,"{u'lat': 30.6175619, u'lng': -96.3079044}","30.6175619,-96.3079044",,,
1620,"{u'lat': 40.787878, u'lng': -74.3882072}","40.787878,-74.3882072",,,
